instrument,bar,time,open,high,low,close,volume,time_berlin
XAUUSD,1h,2026-09-08T02:00:00+00:00,4437.61,4438.57,4421.03,4424.26,31648.0,2026-09-08T04:00:00+02:00
XAUUSD,1h,2026-09-08T03:00:00+00:00,4424.26,4439.16,4422.66,4437.66,21248.0,2026-09-08T05:00:00+02:00
XAUUSD,1h,2026-09-08T04:00:00+00:00,4437.66,4442.9,4431.53,4435.82,17730.0,2026-09-08T06:00:00+02:00
XAUUSD,1h,2026-09-08T05:00:00+00:00,4435.82,4437.63,4417.29,4419.6,33118.0,2026-09-08T07:00:00+02:00
XAUUSD,1h,2026-09-08T06:00:00+00:00,4419.6,4420.2,4398.07,4403.68,44509.0,2026-09-08T08:00:00+02:00
XAUUSD,1h,2026-09-08T07:00:00+00:00,4403.68,4409.41,4390.03,4392.34,32070.0,2026-09-08T09:00:00+02:00
XAUUSD,1h,2026-09-08T08:00:00+00:00,4392.34,4398.54,4387.84,4394.02,36458.0,2026-09-08T10:00:00+02:00
XAUUSD,1h,2026-09-08T09:00:00+00:00,4394.02,4405.68,4390.78,4402.84,26394.0,2026-09-08T11:00:00+02:00
XAUUSD,1h,2026-09-08T10:00:00+00:00,4402.84,4406.87,4393.65,4395.21,24398.0,2026-09-08T12:00:00+02:00
XAUUSD,1h,2026-09-08T11:00:00+00:00,4395.21,4407.89,4391.07,4406.32,25364.0,2026-09-08T13:00:00+02:00
XAUUSD,1h,2026-09-08T12:00:00+00:00,4406.32,4411.63,4385.34,4411.39,46563.0,2026-09-08T14:00:00+02:00
XAUUSD,1h,2026-09-08T13:00:00+00:00,4411.39,4413.09,4390.41,4395.67,80502.0,2026-09-08T15:00:00+02:00
XAUUSD,1h,2026-09-08T14:00:00+00:00,4395.67,4403.77,4389.06,4398.65,72277.0,2026-09-08T16:00:00+02:00
XAUUSD,1h,2026-09-08T15:00:00+00:00,4398.65,4409.26,4394.59,4394.6,44650.0,2026-09-08T17:00:00+02:00
XAUUSD,1h,2026-09-08T16:00:00+00:00,4394.6,4398.61,4380.32,4393.57,45807.0,2026-09-08T18:00:00+02:00
XAUUSD,1h,2026-09-08T17:00:00+00:00,4393.57,4403.73,4385.18,4389.93,30690.0,2026-09-08T19:00:00+02:00
XAUUSD,1h,2026-09-08T18:00:00+00:00,4389.93,4390.29,4358.2,4375.46,57259.0,2026-09-08T20:00:00+02:00
XAUUSD,1h,2026-09-08T19:00:00+00:00,4375.46,4377.17,4356.66,4359.39,54755.0,2026-09-08T21:00:00+02:00
XAUUSD,1h,2026-09-08T20:00:00+00:00,4359.39,4364.35,4345.1,4355.76,15654.0,2026-09-08T22:00:00+02:00
XAUUSD,1h,2026-09-08T22:00:00+00:00,4355.76,4358.93,4350.47,4354.12,9224.0,2026-09-09T00:00:00+02:00
XAUUSD,1h,2026-09-08T23:00:00+00:00,4354.12,4359.79,4349.1,4349.92,12263.0,2026-09-09T01:00:00+02:00
XAUUSD,1h,2026-09-09T00:00:00+00:00,4349.92,4365.46,4341.04,4364.68,36766.0,2026-09-09T02:00:00+02:00
XAUUSD,1h,2026-09-09T01:00:00+00:00,4364.68,4378.21,4353.96,4371.92,44624.0,2026-09-09T03:00:00+02:00
XAUUSD,1h,2026-09-09T02:00:00+00:00,4371.92,4383.26,4367.19,4382.13,28798.0,2026-09-09T04:00:00+02:00
XAUUSD,1h,2026-09-09T03:00:00+00:00,4382.13,4382.71,4375.02,4375.06,18576.0,2026-09-09T05:00:00+02:00
XAUUSD,1h,2026-09-09T04:00:00+00:00,4375.06,4382.5,4370.7,4381.47,13983.0,2026-09-09T06:00:00+02:00
XAUUSD,1h,2026-09-09T05:00:00+00:00,4381.47,4400.86,4380.3,4398.77,26668.0,2026-09-09T07:00:00+02:00
XAUUSD,1h,2026-09-09T06:00:00+00:00,4398.77,4405.98,4395.12,4400.46,26377.0,2026-09-09T08:00:00+02:00
XAUUSD,1h,2026-09-09T07:00:00+00:00,4400.46,4412.75,4399.18,4409.01,23756.0,2026-09-09T09:00:00+02:00
XAUUSD,1h,2026-09-09T08:00:00+00:00,4409.01,4411.87,4398.84,4400.52,23191.0,2026-09-09T10:00:00+02:00
XAUUSD,1h,2026-09-09T09:00:00+00:00,4400.52,4402.27,4388.56,4390.68,22023.0,2026-09-09T11:00:00+02:00
XAUUSD,1h,2026-09-09T10:00:00+00:00,4390.68,4403.02,4386.11,4399.56,24014.0,2026-09-09T12:00:00+02:00
XAUUSD,1h,2026-09-09T11:00:00+00:00,4399.56,4415.2,4399.56,4407.34,30687.0,2026-09-09T13:00:00+02:00
XAUUSD,1h,2026-09-09T12:00:00+00:00,4407.34,4409.33,4390.82,4400.08,38868.0,2026-09-09T14:00:00+02:00
XAUUSD,1h,2026-09-09T13:00:00+00:00,4400.08,4434.04,4398.59,4414.93,76350.0,2026-09-09T15:00:00+02:00
XAUUSD,1h,2026-09-09T14:00:00+00:00,4414.93,4428.59,4409.82,4418.67,74627.0,2026-09-09T16:00:00+02:00
XAUUSD,1h,2026-09-09T15:00:00+00:00,4418.67,4432.08,4374.99,4398.49,128640.0,2026-09-09T17:00:00+02:00
XAUUSD,1h,2026-09-09T16:00:00+00:00,4398.49,4410.27,4391.53,4409.25,46319.0,2026-09-09T18:00:00+02:00
XAUUSD,1h,2026-09-09T17:00:00+00:00,4409.25,4420.45,4408.7,4416.04,35317.0,2026-09-09T19:00:00+02:00
XAUUSD,1h,2026-09-09T18:00:00+00:00,4416.04,4421.48,4401.57,4403.08,31409.0,2026-09-09T20:00:00+02:00
XAUUSD,1h,2026-09-09T19:00:00+00:00,4403.08,4404.8,4395.58,4399.13,33322.0,2026-09-09T21:00:00+02:00
XAUUSD,1h,2026-09-09T20:00:00+00:00,4399.13,4402.95,4393.43,4400.87,9315.0,2026-09-09T22:00:00+02:00
XAUUSD,1h,2026-09-09T22:00:00+00:00,4400.87,4406.25,4397.69,4399.74,9545.0,2026-09-10T00:00:00+02:00
XAUUSD,1h,2026-09-09T23:00:00+00:00,4399.74,4403.11,4393.1,4394.13,12151.0,2026-09-10T01:00:00+02:00
XAUUSD,1h,2026-09-10T00:00:00+00:00,4394.13,4404.86,4389.65,4400.98,27065.0,2026-09-10T02:00:00+02:00
XAUUSD,1h,2026-09-10T01:00:00+00:00,4400.98,4419.11,4399.97,4412.89,55594.0,2026-09-10T03:00:00+02:00
XAUUSD,1h,2026-09-10T02:00:00+00:00,4412.89,4420.81,4408.03,4419.31,34287.0,2026-09-10T04:00:00+02:00
XAUUSD,1h,2026-09-10T03:00:00+00:00,4419.31,4420.96,4406.76,4409.14,23540.0,2026-09-10T05:00:00+02:00
XAUUSD,1h,2026-09-10T04:00:00+00:00,4409.14,4415.5,4405.42,4408.42,13908.0,2026-09-10T06:00:00+02:00
XAUUSD,1h,2026-09-10T05:00:00+00:00,4408.42,4431.18,4408.11,4431.09,33881.0,2026-09-10T07:00:00+02:00
XAUUSD,1h,2026-09-10T06:00:00+00:00,4431.09,4434.63,4410.81,4425.16,35351.0,2026-09-10T08:00:00+02:00
XAUUSD,1h,2026-09-10T07:00:00+00:00,4425.16,4425.37,4403.98,4411.7,29571.0,2026-09-10T09:00:00+02:00
XAUUSD,1h,2026-09-10T08:00:00+00:00,4411.7,4412.75,4392.36,4394.79,30717.0,2026-09-10T10:00:00+02:00
XAUUSD,1h,2026-09-10T09:00:00+00:00,4394.79,4396.84,4388.26,4393.96,27235.0,2026-09-10T11:00:00+02:00
XAUUSD,1h,2026-09-10T10:00:00+00:00,4393.96,4400.19,4375.07,4378.83,46126.0,2026-09-10T12:00:00+02:00
XAUUSD,1h,2026-09-10T11:00:00+00:00,4378.83,4390.8,4373.29,4374.46,46028.0,2026-09-10T13:00:00+02:00
XAUUSD,1h,2026-09-10T12:00:00+00:00,4374.46,4377.8,4323.9,4340.07,104447.0,2026-09-10T14:00:00+02:00
XAUUSD,1h,2026-09-10T13:00:00+00:00,4340.07,4375.9,4338.98,4365.9,132785.0,2026-09-10T15:00:00+02:00
XAUUSD,1h,2026-09-10T14:00:00+00:00,4365.9,4376.32,4353.91,4358.13,116362.0,2026-09-10T16:00:00+02:00
XAUUSD,1h,2026-09-10T15:00:00+00:00,4358.13,4372.24,4352.54,4365.71,69641.0,2026-09-10T17:00:00+02:00
XAUUSD,1h,2026-09-10T16:00:00+00:00,4365.71,4370.07,4353.84,4364.02,58857.0,2026-09-10T18:00:00+02:00
XAUUSD,1h,2026-09-10T17:00:00+00:00,4364.02,4367.99,4351.17,4352.59,51429.0,2026-09-10T19:00:00+02:00
XAUUSD,1h,2026-09-10T18:00:00+00:00,4352.59,4356.07,4329.5,4332.99,65872.0,2026-09-10T20:00:00+02:00
XAUUSD,1h,2026-09-10T19:00:00+00:00,4332.99,4332.99,4313.61,4324.29,56505.0,2026-09-10T21:00:00+02:00
XAUUSD,1h,2026-09-10T20:00:00+00:00,4324.29,4324.38,4314.44,4316.88,15915.0,2026-09-10T22:00:00+02:00
XAUUSD,1h,2026-09-10T22:00:00+00:00,4316.88,4324.83,4313.38,4318.47,11040.0,2026-09-11T00:00:00+02:00
XAUUSD,1h,2026-09-10T23:00:00+00:00,4318.47,4320.42,4311.1,4315.17,14999.0,2026-09-11T01:00:00+02:00
XAUUSD,1h,2026-09-11T00:00:00+00:00,4315.17,4333.76,4312.65,4332.09,42191.0,2026-09-11T02:00:00+02:00
XAUUSD,1h,2026-09-11T01:00:00+00:00,4332.09,4340.5,4320.84,4330.29,61980.0,2026-09-11T03:00:00+02:00
XAUUSD,1h,2026-09-11T02:00:00+00:00,4330.29,4334.48,4315.85,4322.68,40997.0,2026-09-11T04:00:00+02:00
XAUUSD,1h,2026-09-11T03:00:00+00:00,4322.68,4326.39,4300.58,4304.0,39752.0,2026-09-11T05:00:00+02:00
XAUUSD,1h,2026-09-11T04:00:00+00:00,4304.0,4335.22,4301.96,4331.75,36412.0,2026-09-11T06:00:00+02:00
XAUUSD,1h,2026-09-11T05:00:00+00:00,4331.75,4351.97,4328.17,4345.9,44377.0,2026-09-11T07:00:00+02:00
XAUUSD,1h,2026-09-11T06:00:00+00:00,4345.9,4360.9,4345.55,4353.16,42505.0,2026-09-11T08:00:00+02:00
XAUUSD,1h,2026-09-11T07:00:00+00:00,4353.16,4356.2,4340.43,4344.86,29898.0,2026-09-11T09:00:00+02:00
XAUUSD,1h,2026-09-11T08:00:00+00:00,4344.86,4357.67,4342.0,4346.96,41081.0,2026-09-11T10:00:00+02:00
XAUUSD,1h,2026-09-11T09:00:00+00:00,4346.96,4354.01,4340.63,4346.23,24123.0,2026-09-11T11:00:00+02:00
XAUUSD,1h,2026-09-11T10:00:00+00:00,4346.23,4349.91,4336.64,4337.47,27041.0,2026-09-11T12:00:00+02:00
XAUUSD,1h,2026-09-11T11:00:00+00:00,4337.47,4342.52,4330.0,4333.36,31116.0,2026-09-11T13:00:00+02:00
XAUUSD,1h,2026-09-11T12:00:00+00:00,4333.36,4390.19,4291.89,4388.01,117549.0,2026-09-11T14:00:00+02:00
XAUUSD,1h,2026-09-11T13:00:00+00:00,4388.01,4402.45,4380.38,4401.64,133625.0,2026-09-11T15:00:00+02:00
XAUUSD,1h,2026-09-11T14:00:00+00:00,4401.64,4402.44,4364.39,4370.76,105907.0,2026-09-11T16:00:00+02:00
XAUUSD,1h,2026-09-11T15:00:00+00:00,4370.76,4377.15,4359.11,4366.94,65335.0,2026-09-11T17:00:00+02:00
XAUUSD,1h,2026-09-11T16:00:00+00:00,4366.94,4372.73,4351.89,4361.56,57125.0,2026-09-11T18:00:00+02:00
XAUUSD,1h,2026-09-11T17:00:00+00:00,4361.56,4370.34,4357.81,4358.2,40380.0,2026-09-11T19:00:00+02:00
XAUUSD,1h,2026-09-11T18:00:00+00:00,4358.2,4359.98,4343.91,4346.89,36356.0,2026-09-11T20:00:00+02:00
XAUUSD,1h,2026-09-11T19:00:00+00:00,4346.89,4353.75,4342.57,4348.55,35779.0,2026-09-11T21:00:00+02:00
XAUUSD,1h,2026-09-11T20:00:00+00:00,4348.55,4351.36,4345.51,4346.23,6647.0,2026-09-11T22:00:00+02:00
XAUUSD,1h,2026-09-13T22:00:00+00:00,4346.23,4346.23,4328.1,4337.9,24727.0,2026-09-14T00:00:00+02:00
XAUUSD,1h,2026-09-13T23:00:00+00:00,4337.9,4342.36,4331.79,4332.72,15462.0,2026-09-14T01:00:00+02:00
XAUUSD,1h,2026-09-14T00:00:00+00:00,4332.72,4347.48,4329.74,4338.42,45009.0,2026-09-14T02:00:00+02:00
XAUUSD,1h,2026-09-14T01:00:00+00:00,4338.42,4355.27,4326.23,4352.02,84505.0,2026-09-14T03:00:00+02:00
XAUUSD,1h,2026-09-14T02:00:00+00:00,4352.02,4355.31,4330.25,4330.89,35176.0,2026-09-14T04:00:00+02:00
XAUUSD,1h,2026-09-14T03:00:00+00:00,4330.89,4336.42,4327.09,4330.39,25193.0,2026-09-14T05:00:00+02:00
XAUUSD,1h,2026-09-14T04:00:00+00:00,4330.39,4331.69,4321.98,4329.47,19199.0,2026-09-14T06:00:00+02:00
XAUUSD,1h,2026-09-14T05:00:00+00:00,4329.47,4337.57,4323.21,4337.39,35898.0,2026-09-14T07:00:00+02:00
XAUUSD,1h,2026-09-14T06:00:00+00:00,4337.39,4338.73,4320.49,4322.12,35761.0,2026-09-14T08:00:00+02:00
XAUUSD,1h,2026-09-14T07:00:00+00:00,4322.12,4324.19,4307.81,4310.82,37373.0,2026-09-14T09:00:00+02:00
XAUUSD,1h,2026-09-14T08:00:00+00:00,4310.82,4318.24,4303.15,4306.63,37166.0,2026-09-14T10:00:00+02:00
XAUUSD,1h,2026-09-14T09:00:00+00:00,4306.63,4311.67,4277.63,4285.36,51810.0,2026-09-14T11:00:00+02:00
XAUUSD,1h,2026-09-14T10:00:00+00:00,4285.36,4296.54,4278.06,4294.61,29279.0,2026-09-14T12:00:00+02:00
XAUUSD,1h,2026-09-14T11:00:00+00:00,4294.61,4296.91,4284.16,4286.99,27626.0,2026-09-14T13:00:00+02:00
XAUUSD,1h,2026-09-14T12:00:00+00:00,4286.99,4297.64,4265.82,4271.04,69399.0,2026-09-14T14:00:00+02:00
XAUUSD,1h,2026-09-14T13:00:00+00:00,4271.04,4281.13,4253.52,4272.54,100715.0,2026-09-14T15:00:00+02:00
XAUUSD,1h,2026-09-14T14:00:00+00:00,4272.54,4282.91,4263.77,4279.36,75705.0,2026-09-14T16:00:00+02:00
XAUUSD,1h,2026-09-14T15:00:00+00:00,4279.36,4298.26,4272.46,4288.17,81894.0,2026-09-14T17:00:00+02:00
XAUUSD,1h,2026-09-14T16:00:00+00:00,4288.17,4317.69,4286.31,4315.74,61798.0,2026-09-14T18:00:00+02:00
XAUUSD,1h,2026-09-14T17:00:00+00:00,4315.74,4316.42,4307.74,4310.99,50880.0,2026-09-14T19:00:00+02:00
XAUUSD,1h,2026-09-14T18:00:00+00:00,4310.99,4315.9,4304.59,4307.37,37942.0,2026-09-14T20:00:00+02:00
XAUUSD,1h,2026-09-14T19:00:00+00:00,4307.37,4307.8,4282.78,4283.64,35793.0,2026-09-14T21:00:00+02:00
XAUUSD,1h,2026-09-14T20:00:00+00:00,4283.64,4299.62,4282.31,4298.76,15044.0,2026-09-14T22:00:00+02:00
XAUUSD,1h,2026-09-14T22:00:00+00:00,4298.76,4300.75,4292.67,4295.48,14818.0,2026-09-15T00:00:00+02:00
XAUUSD,1h,2026-09-14T23:00:00+00:00,4295.48,4297.41,4286.97,4288.2,15438.0,2026-09-15T01:00:00+02:00
XAUUSD,1h,2026-09-15T00:00:00+00:00,4288.2,4296.65,4283.19,4293.01,30359.0,2026-09-15T02:00:00+02:00
XAUUSD,1h,2026-09-15T01:00:00+00:00,4293.01,4306.57,4287.89,4305.56,49725.0,2026-09-15T03:00:00+02:00
XAUUSD,1h,2026-09-15T02:00:00+00:00,4305.56,4317.33,4305.08,4314.11,30656.0,2026-09-15T04:00:00+02:00
XAUUSD,1h,2026-09-15T03:00:00+00:00,4314.11,4314.47,4303.23,4303.5,23394.0,2026-09-15T05:00:00+02:00
XAUUSD,1h,2026-09-15T04:00:00+00:00,4303.5,4309.59,4300.69,4304.73,20584.0,2026-09-15T06:00:00+02:00
XAUUSD,1h,2026-09-15T05:00:00+00:00,4304.73,4307.55,4289.07,4290.93,36351.0,2026-09-15T07:00:00+02:00
XAUUSD,1h,2026-09-15T06:00:00+00:00,4290.93,4295.25,4285.81,4293.4,38466.0,2026-09-15T08:00:00+02:00
XAUUSD,1h,2026-09-15T07:00:00+00:00,4293.4,4295.54,4276.17,4280.59,37514.0,2026-09-15T09:00:00+02:00
XAUUSD,1h,2026-09-15T08:00:00+00:00,4280.59,4280.77,4261.23,4262.39,39177.0,2026-09-15T10:00:00+02:00
XAUUSD,1h,2026-09-15T09:00:00+00:00,4262.39,4272.12,4261.46,4268.23,33988.0,2026-09-15T11:00:00+02:00
XAUUSD,1h,2026-09-15T10:00:00+00:00,4268.23,4283.82,4268.21,4281.44,24700.0,2026-09-15T12:00:00+02:00
XAUUSD,1h,2026-09-15T11:00:00+00:00,4281.44,4286.68,4278.59,4285.13,25428.0,2026-09-15T13:00:00+02:00
XAUUSD,1h,2026-09-15T12:00:00+00:00,4285.13,4295.75,4271.3,4290.24,53117.0,2026-09-15T14:00:00+02:00
XAUUSD,1h,2026-09-15T13:00:00+00:00,4290.24,4298.24,4283.47,4294.66,83321.0,2026-09-15T15:00:00+02:00
XAUUSD,1h,2026-09-15T14:00:00+00:00,4294.66,4300.52,4273.53,4276.88,79867.0,2026-09-15T16:00:00+02:00
XAUUSD,1h,2026-09-15T15:00:00+00:00,4276.88,4294.71,4276.39,4289.35,58437.0,2026-09-15T17:00:00+02:00
XAUUSD,1h,2026-09-15T16:00:00+00:00,4289.35,4298.27,4285.45,4295.51,39328.0,2026-09-15T18:00:00+02:00
XAUUSD,1h,2026-09-15T17:00:00+00:00,4295.51,4299.06,4290.23,4294.97,32453.0,2026-09-15T19:00:00+02:00
XAUUSD,1h,2026-09-15T18:00:00+00:00,4294.97,4310.34,4292.95,4308.69,44425.0,2026-09-15T20:00:00+02:00
XAUUSD,1h,2026-09-15T19:00:00+00:00,4308.69,4310.68,4294.18,4297.77,35214.0,2026-09-15T21:00:00+02:00
XAUUSD,1h,2026-09-15T20:00:00+00:00,4297.77,4299.12,4291.82,4292.92,10975.0,2026-09-15T22:00:00+02:00
XAUUSD,1h,2026-09-15T22:00:00+00:00,4292.92,4299.04,4288.36,4289.06,12151.0,2026-09-16T00:00:00+02:00
XAUUSD,1h,2026-09-15T23:00:00+00:00,4289.06,4289.48,4281.18,4283.55,13192.0,2026-09-16T01:00:00+02:00
XAUUSD,1h,2026-09-16T00:00:00+00:00,4283.55,4286.13,4275.39,4277.4,21073.0,2026-09-16T02:00:00+02:00
XAUUSD,1h,2026-09-16T01:00:00+00:00,4277.4,4293.61,4276.6,4283.67,36863.0,2026-09-16T03:00:00+02:00
XAUUSD,1h,2026-09-16T02:00:00+00:00,4283.67,4323.4,4283.24,4321.5,43373.0,2026-09-16T04:00:00+02:00
XAUUSD,1h,2026-09-16T03:00:00+00:00,4321.5,4340.97,4321.27,4327.0,38203.0,2026-09-16T05:00:00+02:00
XAUUSD,1h,2026-09-16T04:00:00+00:00,4327.0,4328.6,4320.48,4321.89,14526.0,2026-09-16T06:00:00+02:00
XAUUSD,1h,2026-09-16T05:00:00+00:00,4321.89,4333.73,4320.69,4326.42,27267.0,2026-09-16T07:00:00+02:00
XAUUSD,1h,2026-09-16T06:00:00+00:00,4326.42,4333.05,4321.39,4332.8,30944.0,2026-09-16T08:00:00+02:00
XAUUSD,1h,2026-09-16T07:00:00+00:00,4332.8,4339.03,4328.37,4329.28,30867.0,2026-09-16T09:00:00+02:00
XAUUSD,1h,2026-09-16T08:00:00+00:00,4329.28,4337.62,4322.81,4330.24,35981.0,2026-09-16T10:00:00+02:00
XAUUSD,1h,2026-09-16T09:00:00+00:00,4330.24,4339.31,4327.42,4338.12,28902.0,2026-09-16T11:00:00+02:00
XAUUSD,1h,2026-09-16T10:00:00+00:00,4338.12,4351.37,4337.6,4351.01,29397.0,2026-09-16T12:00:00+02:00
XAUUSD,1h,2026-09-16T11:00:00+00:00,4351.01,4353.67,4341.54,4341.61,34212.0,2026-09-16T13:00:00+02:00
XAUUSD,1h,2026-09-16T12:00:00+00:00,4341.61,4349.01,4334.64,4347.59,39995.0,2026-09-16T14:00:00+02:00
XAUUSD,1h,2026-09-16T13:00:00+00:00,4347.59,4360.42,4334.89,4338.49,76714.0,2026-09-16T15:00:00+02:00
XAUUSD,1h,2026-09-16T14:00:00+00:00,4338.49,4355.92,4324.03,4354.96,71579.0,2026-09-16T16:00:00+02:00
XAUUSD,1h,2026-09-16T15:00:00+00:00,4354.96,4361.79,4342.75,4352.77,62328.0,2026-09-16T17:00:00+02:00
XAUUSD,1h,2026-09-16T16:00:00+00:00,4352.77,4353.01,4343.65,4346.5,28550.0,2026-09-16T18:00:00+02:00
XAUUSD,1h,2026-09-16T17:00:00+00:00,4346.5,4368.1,4341.67,4359.58,33018.0,2026-09-16T19:00:00+02:00
XAUUSD,1h,2026-09-16T18:00:00+00:00,4359.58,4367.15,4256.52,4261.31,257317.0,2026-09-16T20:00:00+02:00
XAUUSD,1h,2026-09-16T19:00:00+00:00,4261.31,4287.31,4234.86,4272.29,197123.0,2026-09-16T21:00:00+02:00
XAUUSD,1h,2026-09-16T20:00:00+00:00,4272.29,4273.82,4257.07,4262.84,31441.0,2026-09-16T22:00:00+02:00
XAUUSD,1h,2026-09-16T22:00:00+00:00,4262.84,4276.09,4257.42,4266.39,16282.0,2026-09-17T00:00:00+02:00
XAUUSD,1h,2026-09-16T23:00:00+00:00,4266.39,4275.33,4258.78,4271.73,24198.0,2026-09-17T01:00:00+02:00
XAUUSD,1h,2026-09-17T00:00:00+00:00,4271.73,4292.3,4266.33,4280.21,44587.0,2026-09-17T02:00:00+02:00
XAUUSD,1h,2026-09-17T01:00:00+00:00,4280.21,4318.09,4280.01,4299.44,61970.0,2026-09-17T03:00:00+02:00
XAUUSD,1h,2026-09-17T02:00:00+00:00,4299.44,4300.93,4274.0,4277.1,47670.0,2026-09-17T04:00:00+02:00
XAUUSD,1h,2026-09-17T03:00:00+00:00,4277.1,4297.38,4276.96,4295.98,27809.0,2026-09-17T05:00:00+02:00
XAUUSD,1h,2026-09-17T04:00:00+00:00,4295.98,4298.9,4290.23,4297.35,19030.0,2026-09-17T06:00:00+02:00
XAUUSD,1h,2026-09-17T05:00:00+00:00,4297.35,4305.53,4285.34,4304.55,30384.0,2026-09-17T07:00:00+02:00
XAUUSD,1h,2026-09-17T06:00:00+00:00,4304.55,4315.12,4304.19,4310.73,40311.0,2026-09-17T08:00:00+02:00
XAUUSD,1h,2026-09-17T07:00:00+00:00,4310.73,4335.33,4309.16,4327.12,36885.0,2026-09-17T09:00:00+02:00
XAUUSD,1h,2026-09-17T08:00:00+00:00,4327.12,4328.17,4310.05,4311.57,31039.0,2026-09-17T10:00:00+02:00
XAUUSD,1h,2026-09-17T09:00:00+00:00,4311.57,4319.33,4304.97,4306.07,29063.0,2026-09-17T11:00:00+02:00
XAUUSD,1h,2026-09-17T10:00:00+00:00,4306.07,4325.02,4304.93,4324.14,23415.0,2026-09-17T12:00:00+02:00
XAUUSD,1h,2026-09-17T11:00:00+00:00,4324.14,4353.16,4323.16,4349.82,43324.0,2026-09-17T13:00:00+02:00
XAUUSD,1h,2026-09-17T12:00:00+00:00,4349.82,4380.89,4343.52,4373.24,85924.0,2026-09-17T14:00:00+02:00
XAUUSD,1h,2026-09-17T13:00:00+00:00,4373.24,4375.13,4355.33,4366.77,101083.0,2026-09-17T15:00:00+02:00
XAUUSD,1h,2026-09-17T14:00:00+00:00,4366.77,4379.86,4352.19,4353.93,83235.0,2026-09-17T16:00:00+02:00
XAUUSD,1h,2026-09-17T15:00:00+00:00,4353.93,4370.06,4351.12,4369.87,55626.0,2026-09-17T17:00:00+02:00
